Breed_Name,FCI_Group,AKC_Group,Origin_Country,Size_Category,Average_Height_cm,Average_Weight_kg,Life_Expectancy_Years,Temperament,Primary_Purpose,Coat_Type,Color_Varieties,Training_Difficulty,Exercise_Needs,Grooming_Needs,Good_With_Families,Good_With_Children,Shedding_Level,Health_Concerns
Spanish Water Dog,1 - Sheepdogs and Cattle Dogs; 8 - Retrievers; Flushing Dogs; Water Dogs,Sporting,Spain,Medium,41-53,14-22,12-14,Affectionate; Alert; Brave; Eager; Even-Tempered; Friendly; Intelligent; Keen; Loyal; Playful; Responsive,Herding; Water Retrieval; Companion; Family; Working,Medium; Double; Curly; Wavy; Woolly; Dense,Solid Colors; Brown; Black; White; Combinations,Moderate,Very High,Very High,Yes,Yes,Moderate,Hip Dysplasia; Elbow Dysplasia; Progressive Retinal Atrophy
Spinone Italiano,7 - Pointers,Sporting,Italy,Large,59-70,32-39,12-13,Affectionate; Alert; Courageous; Devoted; Even-Tempered; Friendly; Intelligent; Loyal,Hunting; Pointing; Water Retrieval; Companion; Family,Medium; Double; Thick; Wiry; Dense; Bristly; Bushy Eyebrows and Beard,Solid Colors; White; Orange; Brown; Liver; Combinations,Moderate,High,High,Yes,Yes,Moderate,Hip Dysplasia; Elbow Dysplasia; Bloat; Gastric Issues
Sponsa (Purebred Basset Hound Cross),6 - Scenthounds and Related Breeds,Hound (Rare),Various,Small-Medium,30-41,18-30,11-13,Affable; Alert; Determined; Even-Tempered; Friendly; Loyal,Hunting; Scent Trailing; Companion; Family,Short; Smooth; Thin,Tricolor; Red and White; Lemon and White; Liver and Tan,Low,High,Low,Yes,Yes,Moderate,Hip Dysplasia; Bloat; Ear Infections
Stabyhoun,8 - Retrievers; Flushing Dogs; Water Dogs,Sporting (Rare),Netherlands,Medium,48-56,17-24,12-15,Affectionate; Alert; Eager; Even-Tempered; Friendly; Intelligent; Loyal; Obedient; Playful; Willing,Hunting; Flushing; Water Retrieval; Companion; Family,Medium; Double; Wavy; Feathered; Fine; Dense,Brown and White; Black and White; Roan; Combinations,Moderate,Moderate,Moderate,Yes,Yes,Moderate,Hip Dysplasia; Elbow Dysplasia; No Major Health Issues
Staffordshire Bull Terrier,3 - Terriers,Terrier,Great Britain,Small,36-41,11-17,12-16,Affectionate; Alert; Courageous; Confident; Determined; Even-Tempered; Friendly; Intelligent; Keen; Lively; Loyal; Obedient; Playful; Responsive; Spirited,Guardian; Companion; Watchdog; Family,Short; Smooth; Close; Dense; Glossy,Red; Fawn; White; Black; Brindle; Combinations; Blue,Low,High,Low,Yes,Yes,Moderate,Hip Dysplasia; Elbow Dysplasia; Breathing Problems; Progressive Retinal Atrophy
Standard Poodle,9 - Companion and Toy Dogs,Non-Sporting,France,Large,45-60,20-32,12-15,Affectionate; Alert; Eager; Even-Tempered; Friendly; Intelligent; Keen; Lively; Loyal; Obedient; Playful; Sensitive; Smart,Hunting; Water Retrieval; Companion; Family; Show Dog; Therapy Dog,Medium; Curly; Double; Dense; Woolly,All solid colors; White; Apricot; Black; Brown; Cream; Gray; Parti-colored; Phantom,Moderate,Moderate,Very High,Yes,Yes,Low,Hip Dysplasia; Elbow Dysplasia; Progressive Retinal Atrophy; Bloat
Standard Schnauzer,2 - Pinschers and Schnauzers; Molossoid Breeds; Swiss Mountain and Cattle Dogs,Working,Germany,Large,43-51,30-50,12-14,Alert; Affectionate; Balanced; Bold; Clever; Confident; Courageous; Determined; Even-Tempered; Fearless; Friendly; Intelligent; Keen; Lively; Loyal; Obedient; Playful; Spirited; Willing,Guardian; Watchdog; Working; Companion; Family,Medium; Double; Hard; Wiry; Bushy Eyebrows; Beard and Mustache; Tight Whiskers,Salt and Pepper; Black; Black and Silver,Moderate,High,High,Yes,Yes,Moderate,Hip Dysplasia; Elbow Dysplasia; Progressive Retinal Atrophy; Bloat
Sussex Spaniel,8 - Retrievers; Flushing Dogs; Water Dogs,Sporting,Great Britain,38-41,16-18,12-14,Affectionate; Courageous; Even-Tempered; Friendly; Gentle; Happy; Intelligent; Loyal; Obedient; Willing,Hunting; Flushing; Companion; Family,Medium; Double; Feathered; Wavy; Dense,Rich Golden-Liver; Dark Golden-Brown; Tan Markings,Moderate,Moderate,Very High,Yes,Yes,High,Hip Dysplasia; Elbow Dysplasia; Ear Infections; Progressive Retinal Atrophy; Intervertebral Disc Disease,
Swedish Lapphund,5 - Spitz and Primitive Types,Non-Sporting,Sweden,Medium,41-50,15-25,12-15,Alert; Affectionate; Bold; Courageous; Determined; Energetic; Friendly; Intelligent; Keen; Lively; Loyal; Obedient; Playful; Responsive,Herding; Reindeer Herding; Companion; Family,Medium; Double; Thick; Dense; Erect; Profuse,Black; Brown; Red; Gray; Fawn; White; Combinations; Markings,Moderate,High,Very High,Yes,Yes,Very High,Hip Dysplasia; Elbow Dysplasia; Progressive Retinal Atrophy
Swedish Vallhund,1 - Sheepdogs and Cattle Dogs,Herding,Sweden,Small,31-33,11-16,12-15,Affectionate; Alert; Courageous; Energetic; Even-Tempered; Friendly; Intelligent; Keen; Lively; Loyal; Obedient; Playful; Responsive; Spirited; Willing,Herding; Companion; Watchdog; Family,Medium; Double; Straight; Hard; Rough; Dense; Close,Red; Red-Brown; Red with Markings; Red Brindle; Gray; Blue-Gray; Combinations; White Markings,Moderate,High,Moderate,Yes,Yes,Very High,Hip Dysplasia; Elbow Dysplasia; Progressive Retinal Atrophy; Epilepsy
Taiwanese Chin (Chin-Chin),9 - Companion and Toy Dogs,Toy (Non-AKC),Taiwan,Tiny,20-25,2.5-4,12-15,Alert; Affectionate; Cheerful; Friendly; Intelligent; Lively; Loyal; Playful,Companion; Family; Lapdog; Watchdog,Medium; Fine; Silky; Feathered,Black and White; White; Red; Cream; Combinations,High,Moderate,High,Yes,Yes,Low,Patellar Luxation; Heart Issues; Progressive Retinal Atrophy
Talbot (Historical),10 - Sighthounds,Hound (Extinct),Great Britain,Large,60-75,20-50,N/A (extinct),Alert; Courageous; Determined; Even-Tempered; Friendly; Loyal; Tenacious,Hunting; Scent Trailing (extinct),Medium; Double; Smooth; Dense,White; Red; Brown; Combinations,Moderate,High,Low,N/A (extinct),N/A (extinct),Moderate,N/A (extinct)
Taltan Bear Dog (Rare),5 - Spitz and Primitive Types,Hound (Rare; Near Extinction),Canada,Small-Medium,45-55,7-14,10-12,Alert; Agile; Courageous; Energetic; Friendly; Intelligent; Keen; Lively; Loyal; Playful,Hunting; Companion,Medium; Double; Rough; Dense; Erect,Black; Black and White; Black and Tan; Gray; Combinations,Moderate,High,Moderate,Yes,Yes,Very High,Hip Dysplasia; No Major Health Issues Documented
Tan and White Setter (Non-Standard Irish),7 - Pointers,Sporting (Rare),Ireland,Large,63-66,25-36,12-15,Affectionate; Alert; Eager; Even-Tempered; Friendly; Gentle; Intelligent; Lively; Loyal; Obedient,Hunting; Pointing; Companion; Family,Medium; Feathered; Silky; Glossy; Smooth,Red and White; Tan and White; Cream and White; Combinations,Moderate,Very High,Very High,Yes,Yes,High,Hip Dysplasia; Elbow Dysplasia; Progressive Retinal Atrophy; Bloat
Tanzanian Mongrel (Street Dog),,Non-Registered,Tanzania,Varies,Varies,Varies,Varies,Varies,Varies,Varies,Varies,Varies,Varies,Often Yes,Often Yes,Varies,Depends on Mix,
Tasy Terrier,3 - Terriers,Terrier (Non-Recognized),France,Toy,20-25,2-3,12-15,Alert; Affectionate; Courageous; Even-Tempered; Friendly; Intelligent; Keen; Lively; Loyal; Playful,Hunting; Companion; Family; Lapdog,Short; Smooth; Fine,Fawn; Red; Cream; White; Combinations; Markings,Moderate,Moderate,Low,Yes,Yes,Low,Patellar Luxation; Hypoglycemia; No Major Health Issues
Telomian (Non-Standard),5 - Spitz and Primitive Types,Hound (FSS),Malaysia,Small-Medium,40-48,12-17,12-15,Alert; Brave; Courageous; Even-Tempered; Friendly; Intelligent; Keen; Lively; Loyal; Playful,Hunting; Companion; Family,Short; Smooth; Dense,Red; Black; Red and White; Tricolor; White Markings,Moderate,High,Low,Yes,Yes,Moderate,Hip Dysplasia; No Major Health Issues
Thai Bangkaew Dog (Rare),5 - Spitz and Primitive Types,Non-Sporting (Rare),Thailand,Medium-Large,50-65,18-32,12-15,Alert; Brave; Courageous; Even-Tempered; Friendly; Intelligent; Keen; Loyal; Playful; Protective; Responsive,Guardian; Hunting; Companion; Family,Medium; Double; Thick; Dense; Fluffy; Medium to Long,Red and White; Black and White; Fawn; Cream; Brindle; Combinations,Moderate,High,Moderate-High,Yes,Yes,Very High,Hip Dysplasia; No Major Health Issues
Thai Ridgeback,6 - Scenthounds and Related Breeds,Hound,Thailand,Medium-Large,51-61,24-34,12-15,Active; Affectionate; Alert; Brave; Courageous; Even-Tempered; Friendly; Independent; Intelligent; Keen; Lively; Loyal; Playful; Protective; Responsive; Ridge of Hair on Back,Guardian; Hunting; Companion; Family,Short; Smooth; Close; Dense,Red; Black; Black and Tan; Blue; Combinations; Ridge of Hair on Back,Moderate,High,Low,Yes,Yes,Moderate,Hip Dysplasia; Deafness; No Major Health Issues
Tibetan Dzo (Non-Standard),5 - Spitz and Primitive Types,Non-Recognized,Tibet,Varies,Varies,Varies,Varies,Varies,Varies,Varies,Varies,Varies,Varies,Varies,Varies,Varies,Depends on Mix,
Tibetan Mastiff,2 - Pinschers and Schnauzers; Molossoid Breeds; Swiss Mountain and Cattle Dogs,Working,Tibet,Giant,61-76,45-73,10-14,Alert; Aloof; Confident; Courageous; Devoted; Dignified; Fearless; Friendly (to family); Independent; Intelligent; Loyal; Obedient; Protective; Quiet,Guardian; Livestock Protection; Working; Companion; Family,Medium; Double; Thick; Dense; Feathered; Mane-like; Heavy,Black; Black and Tan; Brown; Red; Gold; Cream; Combinations,High,Moderate,Very High,Moderate,Moderate,Very High,Hip Dysplasia; Bloat; Elbow Dysplasia; Entropion
Tibetan Mastiff-Dachshund Mix,2 & 4 - Hybrid,Hybrid/Unrecognized,Hybrid,Small,Varies,Varies,Varies,Varies,Varies,Varies,Varies,Varies,Varies,Varies,Varies,Varies,Hip Dysplasia; Bloat (from Mastiff); Intervertebral Disc Disease (from Dachshund),
Tibetan Spaniel,9 - Companion and Toy Dogs,Toy,Tibet,Small,25-28,4.1-6.8,12-15,Alert; Affectionate; Aloof (to strangers); Cheerful; Friendly; Intelligent; Keen; Lively; Loyal; Playful; Sensitive; Spirited; Willful,Companion; Lapdog; Family; Watchdog,Medium; Double; Fine; Silky; Feathered,All colors; Golden; White; Cream; Black; Combinations; Black and Tan,Moderate,Moderate,Very High,Yes,Yes,High,Hip Dysplasia; Patellar Luxation; Progressive Retinal Atrophy; Kidney Disease
Tibetan Terrier,9 - Companion and Toy Dogs,Non-Sporting,Tibet,Small,36-41,8.6-13.6,12-15,Affectionate; Alert; Aloof (to strangers); Courageous; Even-Tempered; Friendly; Intelligent; Keen; Lively; Loyal; Playful; Positive; Responsive; Sensitive; Spirited; Willful,Companion; Family; Watchdog; Therapy Dog,Medium; Double; Fine; Fluffy; Long; Profuse; Feathered; Wool-like,All colors; White; Cream; Black; Gray; Fawn; Red; Gold; Combinations,Moderate,Moderate,Very High,Yes,Yes,High,Hip Dysplasia; Patellar Luxation; Progressive Retinal Atrophy; Legg-Calve-Perthes Disease
Toy Manchester Terrier,3 - Terriers,Toy,Great Britain,Toy,25-30,3.6-6,12-15,Alert; Affectionate; Courageous; Determined; Even-Tempered; Friendly; Keen; Lively; Loyal; Playful; Responsive; Spirited,Companion; Watchdog; Family; Lapdog,Short; Smooth; Glossy; Dense,Black and Tan; Tan; Red; Fawn,Low,Moderate,Low,Yes,Yes,Low,Patellar Luxation; Lens Luxation; Hypothyroidism
Toy Poodle,9 - Companion and Toy Dogs,Toy,France,Toy,24-28,3.6-6,12-15,Affectionate; Alert; Eager; Even-Tempered; Friendly; Intelligent; Keen; Lively; Loyal; Obedient; Playful; Sensitive; Smart,Companion; Family; Lapdog; Therapy Dog; Show Dog,Medium; Curly; Double; Dense; Woolly,All solid colors; White; Apricot; Black; Brown; Cream; Gray; Parti-colored; Phantom,Moderate,Low-Moderate,Very High,Yes,Yes,Low,Hip Dysplasia; Patellar Luxation; Progressive Retinal Atrophy; Bloat
Treeing Tennessee Brindle,6 - Scenthounds and Related Breeds,Hound,United States,Medium-Large,40-66,13-30,12-15,Courageous; Determined; Driven; Even-Tempered; Friendly; Independent; Intelligent; Keen; Lively; Loyal; Playful; Tenacious,Hunting; Scent Trailing; Companion; Family,Short; Smooth; Dense,Brindle; Tan; Brown; Combinations,Moderate,Very High,Low,Yes,Yes,Moderate,Hip Dysplasia; No Major Health Issues
Trigg Hound (Non-Standard),6 - Scenthounds and Related Breeds,Hound (Rare),United States,Large,53-66,20-30,11-13,Affectionate; Alert; Courageous; Even-Tempered; Friendly; Loyal; Tenacious,Hunting; Scent Trailing; Companion; Family,Short; Smooth; Dense,Various; Red; Black; Tan; Combinations,Moderate,High,Low,Yes,Yes,Moderate,Hip Dysplasia; No Major Health Issues
Triton Bulldog (Rare),2 - Pinschers and Schnauzers; Molossoid Breeds; Swiss Mountain and Cattle Dogs,Working (Rare),Unknown,Medium-Large,40-60,20-40,10-12,Alert; Brave; Courageous; Determined; Friendly; Intelligent; Loyal; Obedient; Protective,Guardian; Companion; Family; Working,Short; Smooth; Dense,Fawn; Brindle; Red; Black; Combinations; White Markings,Moderate,Moderate,Low,Moderate,Moderate,Moderate,Hip Dysplasia; Bloat; Elbow Dysplasia
Tosa Inu,2 - Pinschers and Schnauzers; Molossoid Breeds; Swiss Mountain and Cattle Dogs,Working,Japan,Large,60-65,36-61,10-12,Alert; Bold; Brave; Courageous; Determined; Even-Tempered; Fearless; Friendly; Intelligent; Keen; Loyal; Obedient; Protective; Quiet; Responsive; Willful,Guardian; Protection; Fighting (history); Companion; Family,Short; Smooth; Dense; Close; Thick,Fawn; Red; Apricot; Black; Brindle; Tan Markings; White Markings,Moderate,High,Low,Moderate,Moderate,Moderate,Hip Dysplasia; Elbow Dysplasia; Bloat; Gastric Issues
Treeing Walker Coonhound,6 - Scenthounds and Related Breeds,Hound,United States,Large,50-66,20-30,12-13,Even-Tempered; Friendly; Intelligent; Independent; Keen; Loyal; Tenacious,Hunting; Scent Trailing; Companion; Family,Short; Smooth; Dense; Glossy,White and Black; Black and Tan; White; Tan; Combinations; Ticking,Moderate,High,Low,Yes,Yes,Moderate,Hip Dysplasia; Bloat; Ear Infections
Tricolour Setter,7 - Pointers,Sporting (Non-Standard),Ireland/Scotland,Large,63-69,25-34,10-12,Affectionate; Alert; Eager; Even-Tempered; Friendly; Gentle; Intelligent; Lively; Loyal; Obedient,Hunting; Pointing; Companion; Family,Medium; Feathered; Silky; Glossy,White; Black; Tan; Combinations (Tricolor),Moderate,Very High,Very High,Yes,Yes,High,Hip Dysplasia; Elbow Dysplasia; Progressive Retinal Atrophy; Bloat
Turkish Kangal,1 - Sheepdogs and Cattle Dogs,Working,Turkey,Giant,66-81,41-66,11-15,Alert; Courageous; Confident; Determined; Faithful; Fearless; Intelligent; Independent; Loyal; Obedient; Protective,Guardian; Livestock Protection; Working; Companion; Family; National Dog of Turkey,Medium; Double; Thick; Dense; Weather-Resistant,Fawn; Cream; Sable; Black Mask; Black Ears; Iron Gray; Combinations,Moderate,Moderate,Very High,Yes,Moderate,Very High,Hip Dysplasia; Bloat; Elbow Dysplasia
Turkish Tazy,10 - Sighthounds,Hound (Rare),Kazakhstan/Turkmenistan,Large,60-75,20-40,12-15,Active; Alert; Courageous; Even-Tempered; Friendly; Intelligent; Keen; Lively; Loyal; Playful; Sensitive; Swift,Hunting; Sighthound; Companion; Family,Medium; Smooth or Feathered; Fine; Silky,Various colors; Cream; Red; Black; Combinations,Moderate,High,Low-Moderate,Yes,Yes,Low-Moderate,Hip Dysplasia; No Major Health Issues
Ukrainian Levak (Rare),10 - Sighthounds,Hound (Rare),Ukraine,Large,65-75,25-45,12-15,Active; Alert; Courageous; Even-Tempered; Friendly; Independent; Intelligent; Keen; Lively; Loyal; Playful; Sensitive; Swift,Hunting; Sighthound; Companion; Family,Medium; Smooth; Fine; Dense,Various colors; Red; Black; Fawn; Combinations,Moderate,High,Low,Yes,Yes,Moderate,Hip Dysplasia; Elbow Dysplasia; No Major Health Issues
Uruguayan Cimarron,2 - Pinschers and Schnauzers; Molossoid Breeds; Swiss Mountain and Cattle Dogs,Working (Rare),Uruguay,Large,61-71,34-50,10-14,Alert; Brave; Courageous; Determined; Even-Tempered; Fearless; Friendly; Intelligent; Keen; Loyal; Obedient; Protective,Guardian; Protection; Hunting; Livestock; Companion; Family,Short; Smooth; Dense; Close; Thick; Glossy,Brindle; Brown; Black; Fawn; Red; Tan Markings; White Markings,Moderate,High,Low,Moderate,Moderate,Moderate,Hip Dysplasia; Bloat; Elbow Dysplasia
Utility Spitz (Non-Standard),5 - Spitz and Primitive Types,Non-Recognized,Germany,Large,35-55,15-25,12-14,Alert; Balanced; Confident; Courageous; Friendly; Intelligent; Keen; Lively; Loyal; Obedient,Companion; Family; Watchdog; Working,Medium; Double; Straight; Thick; Dense; Erect,All colors; White; Black; Gray; Red; Brown; Combinations,Moderate,Moderate,High,Yes,Yes,High,Hip Dysplasia; Progressive Retinal Atrophy; No Major Health Issues
Volpino Italiano,5 - Spitz and Primitive Types,Non-Sporting,Italy,Small,25-30,3.6-5.1,12-15,Alert; Affectionate; Courageous; Friendly; Intelligent; Keen; Lively; Loyal; Playful; Responsive; Spirited; Vivacious; Willful,Companion; Watchdog; Family; Lapdog,Medium; Double; Long; Fine; Fluffy; Dense; Erect; Plumed Tail,White; Red; Red and White; Black; Gray; Fawn; Cream,Moderate,Moderate,Very High,Yes,Yes,Very High,Hip Dysplasia; Patellar Luxation; Progressive Retinal Atrophy
Wachtel Dachshund (Wirehaired Miniature),4 - Dachshunds,Hound,Germany,Small,20-25,4.5-5,12-16,Alert; Brave; Clever; Courageous; Determined; Even-Tempered; Friendly; Intelligent; Keen; Lively; Loyal; Merry; Playful; Spirited,Hunting; Companion; Family,Medium; Rough; Wiry; Double; Dense,Red; Cream; Black and Tan; Chocolate; Dapple; Brindle; Combinations,Moderate,Moderate,Moderate,Yes,Yes,Moderate,Intervertebral Disc Disease; Hip Dysplasia; Patellar Luxation
Weimaraner,7 - Pointers,Sporting,Germany,Large,56-66,25-40,10-12,Affectionate; Alert; Courageous; Determined; Eager; Even-Tempered; Friendly; Gentle; Intelligent; Keen; Lively; Loyal; Obedient; Sensitive; Swift; Versatile; Willing,Hunting; Pointing; Companion; Family; Police; Military; Show Dog,Medium; Double; Short; Smooth; Fine; Dense; Sleek,Silver; Gray; Blue; Silver-Gray; Combinations; Lighter on Head and Ears; Darker on Back and Tail,Moderate,Very High,Moderate,Yes,Yes,Moderate,Hip Dysplasia; Elbow Dysplasia; Bloat; Progressive Retinal Atrophy
Welsh Corgi (Pembroke),1 - Sheepdogs and Cattle Dogs,Herding,Wales,Small,25-30,13-15,12-13,Affectionate; Alert; Courageous; Friendly; Intelligent; Lively; Loyal; Playful; Sturdy,Herding; Companion; Family; Watchdog; Royal Breed of Queen Elizabeth II,Medium; Double; Straight; Thick; Dense,Red; Sable; Fawn; Black and Tan; White Markings; Blazes,Moderate,Moderate,High,Yes,Yes,Very High,Hip Dysplasia; Elbow Dysplasia; Progressive Retinal Atrophy; Degenerative Myelopathy
Welsh Springer Spaniel,8 - Retrievers; Flushing Dogs; Water Dogs,Sporting,Wales,Medium,43-48,16-20,12-15,Affectionate; Alert; Brave; Eager; Even-Tempered; Friendly; Gentle; Happy; Intelligent; Loyal; Obedient; Willing,Hunting; Flushing; Companion; Family,Medium; Double; Silky; Feathered; Wavy; Dense,Red and White; Only; Combinations,Moderate,High,Very High,Yes,Yes,High,Hip Dysplasia; Elbow Dysplasia; Hip Dysplasia; Progressive Retinal Atrophy
Welsh Terrier,3 - Terriers,Terrier,Wales,Small,33-39,7.3-9.1,12-15,Alert; Affectionate; Balanced; Courageous; Determined; Even-Tempered; Friendly; Intelligent; Keen; Lively; Loyal; Playful; Responsive; Spirited,Hunting; Companion; Watchdog; Family,Medium; Double; Hard; Rough; Wiry; Furnishings,Black and Tan; Grizzle and Tan; Red; Brindle,Moderate,Moderate,Very High,Yes,Yes,Moderate,Patellar Luxation; Progressive Retinal Atrophy; Lens Luxation
West Highland White Terrier,3 - Terriers,Terrier,Scotland,Small,25-28,7-11,12-14,Alert; Affectionate; Courageous; Determined; Even-Tempered; Friendly; Independent; Intelligent; Keen; Lively; Loyal; Playful; Responsive; Spirited; Stubborn; Willing,Hunting; Companion; Watchdog; Family,Medium; Double; Hard; Rough; Wiry; Dense,White,Low,Moderate,Very High,Yes,Yes,Moderate,Patellar Luxation; Craniomandibular Osteopathy; Legg-Calve-Perthes Disease; Progressive Retinal Atrophy
Wetterhoun,8 - Retrievers; Flushing Dogs; Water Dogs,Sporting,Netherlands,Large,48-58,15-20,12-15,Affectionate; Alert; Brave; Determined; Eager; Even-Tempered; Friendly; Independent; Intelligent; Loyal; Obedient; Playful; Willing,Hunting; Water Retrieval; Companion; Family,Medium; Double; Curly; Dense; Oily; Weather-Resistant,Black; Brown; White; Combinations; Pied; Parti-colored; Roan; Combinations,Moderate,High,Moderate-High,Yes,Yes,Moderate,Hip Dysplasia; Elbow Dysplasia; No Major Health Issues
Wheaten Terrier,3 - Terriers,Terrier,Ireland,Medium,43-49,13-18,12-14,Alert; Affectionate; Courageous; Even-Tempered; Friendly; Intelligent; Keen; Lively; Loyal; Playful; Responsive; Spirited; Strong-Willed; Willing,Hunting; Companion; Family; Watchdog,Medium; Double; Silky; Wavy; Profuse; Soft; Dense,Cream; Wheaten; Fawn; Golden; Apricot,Moderate,High,Very High,Yes,Yes,Moderate,Hip Dysplasia; Elbow Dysplasia; Progressive Retinal Atrophy; Bloat
Whippet,10 - Sighthounds,Hound,Great Britain,Medium,44-56,6.8-15,12-15,Affectionate; Alert; Bright; Courageous; Even-Tempered; Friendly; Gentle; Intelligent; Keen; Lively; Loyal; Playful; Responsive; Sweet-Tempered; Swift,Hunting; Racing; Sighthound; Companion; Family; Lure Coursing,Short; Smooth; Close; Fine; Glossy,All colors or color combinations; Black; Blue; Brown; Fawn; Red; Cream; White; Brindle; Parti-colored; Combinations; Markings,Moderate,High,Low,Yes,Yes,Low,Hip Dysplasia; Elbow Dysplasia; Bloat; Progressive Retinal Atrophy
White Bull Terrier (Non-Standard),3 - Terriers,Terrier (Non-Standard),Great Britain,Medium,53-56,22-38,12-13,Affectionate; Alert; Courageous; Determined; Friendly; Intelligent; Keen; Lively; Playful; Stubborn,Guardian; Companion,Short; Smooth; Close; Hard; Thick,Pure White,Moderate,High,Low,Moderate,Moderate,Low,Hip Dysplasia; Deafness; Heart Issues; Skin Issues
White Boxer,2 - Pinschers and Schnauzers; Molossoid Breeds; Swiss Mountain and Cattle Dogs,Working (Color Variant),Germany,Large,53-63,25-32,10-12,Alert; Courageous; Devoted; Energetic; Playful; Affectionate,Guardian; Family; Working,Short; Smooth; Tight,White; White with Black Mask (Rare),Low,High,Low,Yes,Yes,Moderate,Hip Dysplasia; Bloat; Heart Issues; Deafness (in all-white dogs)
Wirehaired Pointing Griffon,7 - Pointers,Sporting,Netherlands/France,Large,55-65,24-35,12-14,Alert; Determined; Eager; Even-Tempered; Friendly; Intelligent; Lively; Loyal; Obedient; Sensible; Versatile; Willing,Hunting; Pointing; Water Retrieval; Companion; Family; Working,Medium; Double; Harsh; Wiry; Dense; Bushy Eyebrows; Beard and Mustache,Chestnut; Gray; White; Combinations; Roan; Parti-colored; Brown; Liver,Moderate,Very High,High,Yes,Yes,Moderate,Hip Dysplasia; Elbow Dysplasia; Progressive Retinal Atrophy; Bloat
Wirehaired Terrier (Scottish),3 - Terriers,Terrier (Non-Standard),Scotland,Small,25-28,8.6-10,12-15,Alert; Affectionate; Courageous; Determined; Even-Tempered; Friendly; Independent; Intelligent; Keen; Lively; Loyal; Playful; Responsive; Spirited; Stubborn; Willing,Hunting; Guardian; Companion; Watchdog; Family,Medium; Double; Hard; Rough; Wiry,Black; Brindle; Wheaten; Cream; Grizzle,Moderate,Moderate,High,Yes,Yes,Moderate,Patellar Luxation; Scottie Cramp; Lens Luxation; Hip Dysplasia
Wirehaired Dachshund,4 - Dachshunds,Hound,Germany,Small-Large,Varies,Varies,12-16,Alert; Brave; Clever; Courageous; Determined; Even-Tempered; Friendly; Intelligent; Keen; Lively; Loyal; Merry; Playful,Hunting; Companion; Family,Medium; Rough; Wiry; Double; Dense; Bristly Mustache,Red; Cream; Black and Tan; Chocolate; Dapple; Brindle; Combinations,Moderate,Moderate,Moderate,Yes,Yes,Moderate,Intervertebral Disc Disease; Hip Dysplasia; Patellar Luxation
Wire Fox Terrier,3 - Terriers,Terrier,Great Britain,Small,39-41,7.3-8.6,12-15,Alert; Affectionate; Courageous; Determined; Even-Tempered; Friendly; Intelligent; Keen; Lively; Loyal; Playful; Responsive; Spirited,Hunting; Companion; Watchdog; Family,Medium; Double; Hard; Rough; Wiry; Dense,White; White with Markings; Black; Brown; Combinations,Low,Moderate,High,Yes,Yes,Moderate,Patellar Luxation; Lens Luxation; Deafness; Myopia
Xoloitzcuintli,5 - Spitz and Primitive Types,Non-Sporting,Mexico,Toy-Large,25-72,3-30,13-18,Alert; Affectionate; Courageous; Energetic; Even-Tempered; Friendly; Intelligent; Keen; Lively; Loyal; Playful; Sensitive; Devoted,Companion; Guardian; Watchdog; Family; Healing Dog,Hairless; Coated variants; Short; Smooth; Fine,Uniform colors; Black; Gray; Red; Brown; Bronze; Spotted; Striped; Brindle (varies by type),Moderate,Moderate-High,Low (Hairless) or Low-Moderate (Coated),Yes,Yes,Low (Hairless) or Moderate (Coated),Hip Dysplasia; Patellar Luxation; Missing Premolars; Skin Issues (Hairless); Eye Problems
Yakutian Laika,5 - Spitz and Primitive Types,Non-Sporting (Rare),Russia (Yakutia),Large,51-60,20-23,12-14,Alert; Bold; Courageous; Energetic; Even-Tempered; Friendly; Independent; Intelligent; Keen; Lively; Loyal; Playful; Quick,Sled Pulling; Hunting; Companion; Working,Medium; Double; Thick; Dense; Fluffy; Erect,Various colors; Black and White; Gray and White; Red and White; Brown and White; Combinations,Moderate,Very High,Very High,Yes,Yes,Very High,Hip Dysplasia; Elbow Dysplasia; No Major Health Issues
Yorkshire Terrier,9 - Companion and Toy Dogs,Toy,Great Britain,Toy,20-23,1.4-3.2,12-15,Alert; Affectionate; Brave; Cheerful; Confident; Courageous; Friendly; Independent; Intelligent; Keen; Lively; Loyal; Playful; Responsive; Spirited; Willful,Hunting; Companion; Watchdog; Family; Lapdog,Medium; Long; Fine; Silky; Straight; Flowing,Blue and Tan; Tan; Blue; Black and Tan; Combinations,High,Moderate,Very High,Yes,Yes,Moderate,Patellar Luxation; Hip Dysplasia; Portosystemic Shunt; Progressive Retinal Atrophy
American Pit Bull Terrier,3 - Terriers,Non-AKC (UKC Recognized),United States,Medium,43-53,27-36,12-14,Courageous; Confident; Affectionate; Loyal; Tenacious,Companion; Guardian; Family,Short; Smooth; Close,Any color or color combination,Moderate,Very High,Low,Yes,Yes (with supervision),Moderate,Hip Dysplasia; Heart Disease; Skin Issues
American Bully,2 - Pinschers and Schnauzers; Molossoid Breeds,Working,United States,Medium-Large,43-53,27-66,12-15,Affectionate; Confident; Courageous; Friendly; Loyal,Companion; Family,Short; Smooth; Glossy,Any color or color combination,Moderate,High,Low,Yes,Yes (with supervision),Moderate,Hip Dysplasia; Heart Issues; Skin Issues
